City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Moba,33.2288,105.0179,36.14000000000002,79,89,1.51,CN,1611897950
Yerköy,39.6381,34.4672,29.75,93,83,0.26,TR,1611897954
Velizh,55.6056,31.1967,27.23000000000004,99,99,1.65,RU,1611897955
Oranjemund,-28.55,16.4333,61.17800000000007,80,0,7.28,NA,1611897956
Cidreira,-30.1811,-50.2056,73.32800000000006,93,100,7.89,BR,1611897959
Nantucket,41.2835,-70.0995,23.0,68,90,11.83,US,1611897693
Asău,46.4333,26.4,32.0,69,0,3.09,RO,1611897971
Zabaykal'sk,49.6333,117.3167,-9.237999999999943,87,100,1.94,RU,1611897982
Ushuaia,-54.8,-68.3,39.2,87,75,11.83,AR,1611897985
Batelov,49.3143,15.3947,33.008,100,100,1.88,CZ,1611897985
Khatanga,71.9667,102.5,-44.985999999999976,73,0,1.46,RU,1611897985
Wanning,18.8003,110.3967,70.82600000000009,70,89,5.44,CN,1611897986
Matara,5.9485,80.5353,86.77400000000002,62,93,1.45,LK,1611898309
Jamestown,42.097,-79.2353,19.004000000000055,79,90,7.2,US,1611898250
Carnarvon,-24.8667,113.6333,91.4,52,0,7.2,AU,1611898310
Miles City,46.4083,-105.8406,26.6,74,1,4.12,US,1611898310
Hithadhoo,-0.6,73.0833,82.49000000000002,71,38,3.63,MV,1611898310
Mar del Plata,-38.0023,-57.5575,66.93800000000005,85,100,2.55,AR,1611898311
Launceston,-41.45,147.1667,62.99600000000005,63,90,6.17,AU,1611898266
Missoula,47.0166,-113.8009,23.23399999999999,96,100,0.43,US,1611898311
Bluff,-46.6,168.3333,48.00200000000008,80,98,3.58,NZ,1611898311
Barreiras,-12.1528,-44.99,70.08800000000005,67,22,0.86,BR,1611898312
Bredasdorp,-34.5322,20.0403,60.8,67,16,3.6,ZA,1611898312
Kaoma,-14.7833,24.8,67.5680000000001,91,100,3.6,ZM,1611898312
Vaini,-21.2,-175.2,78.80000000000001,94,90,8.23,TO,1611898025
Cape Town,-33.9258,18.4232,64.99400000000009,88,40,1.03,ZA,1611898152
Nanortalik,60.1432,-45.2371,33.40400000000005,87,94,6.64,GL,1611898313
Pisco,-13.7,-76.2167,68.50400000000005,80,77,2.05,PE,1611898313
Ostrovnoy,68.0531,39.5131,2.3180000000000867,88,100,8.56,RU,1611898313
Puerto Ayora,-0.7393,-90.3518,77.0,91,39,0.45,EC,1611898313
Olafsvik,64.8945,-23.7142,31.19000000000002,89,80,1.91,IS,1611898313
Mataura,-46.1927,168.8643,48.00200000000008,80,97,3.58,NZ,1611898314
Hong Kong,22.2855,114.1577,69.99800000000002,32,0,5.66,HK,1611898182
Saint-Joseph,-21.3667,55.6167,80.65400000000005,68,13,3.05,RE,1611898314
Misantla,19.9333,-96.8333,60.49400000000007,88,100,2.08,MX,1611898314
Lander,42.833,-108.7307,37.4,44,1,3.48,US,1611898314
Albany,42.6001,-73.9662,5.144000000000073,86,29,5.55,US,1611898209
Gogrial,8.5332,28.1004,77.39600000000004,16,68,3.46,SS,1611898314
Oudtshoorn,-33.5907,22.2014,64.4,77,75,2.06,ZA,1611898315
Punta Arenas,-53.15,-70.9167,41.0,65,90,5.14,CL,1611898315
Barrow,71.2906,-156.7887,-14.799999999999947,76,90,3.6,US,1611898315
Hofn,64.2539,-15.2082,28.52600000000009,88,48,1.77,IS,1611898315
Kholm,59.2667,32.85,29.06600000000001,99,100,1.78,RU,1611898315
Thompson,55.7435,-97.8558,-2.9559999999999818,91,94,2.81,CA,1611898315
Puerto Madero,14.7208,-92.4215,77.59400000000008,70,83,2.43,MX,1611898316
Castro,-24.7911,-50.0119,64.292,94,100,1.69,BR,1611898316
Tasiilaq,65.6145,-37.6368,24.8,86,90,1.54,GL,1611898316
Santa Cruz Cabrália,-16.2781,-39.0247,73.38200000000002,89,13,0.9,BR,1611898316
Batagay-Alyta,67.8006,130.4114,-39.24399999999997,80,0,0.76,RU,1611898316
East London,-33.0153,27.9116,68.0,77,0,4.63,ZA,1611898316
Waingapu,-9.6567,120.2641,82.99400000000009,76,93,6.83,ID,1611898317
Severobaykal'sk,55.65,109.3167,-10.677999999999962,81,0,0.98,RU,1611898317
George Town,5.4112,100.3354,83.96600000000001,59,100,0.23,MY,1611898318
Ulladulla,-35.35,150.4667,66.29000000000002,91,100,5.27,AU,1611898318
Ixtapa,20.7,-105.2,69.15200000000007,56,66,1.33,MX,1611898318
Atuona,-9.8,-139.0333,78.89000000000001,76,68,8.37,PF,1611898318
Rawson,-43.3002,-65.1023,60.27800000000006,65,11,2.12,AR,1611898318
Kozluk,38.1938,41.4885,39.2,100,75,3.09,TR,1611898318
Nemuro,43.3236,145.575,26.6,93,75,6.17,JP,1611898319
Rikitea,-23.1203,-134.9692,79.97000000000006,67,76,1.82,PF,1611897789
Sirte,31.2089,16.5887,56.87600000000009,80,33,5.15,LY,1611898319
Northam,51.0333,-4.2167,48.992,94,38,7.15,GB,1611898319
Antofagasta,-23.65,-70.4,63.37400000000001,78,11,1.75,CL,1611898319
Pitimbu,-7.4706,-34.8086,78.80000000000001,83,20,2.06,BR,1611898319
Hambantota,6.1241,81.1185,82.4,83,40,1.03,LK,1611898320
Lompoc,34.6391,-120.4579,51.8,87,90,2.06,US,1611898320
Narsaq,60.9167,-46.05,44.6,31,75,16.98,GL,1611898320
Husavik,66.0449,-17.3389,-2.199999999999953,84,0,1.54,IS,1611898320
Sept-Îles,50.2001,-66.3821,8.599999999999998,66,23,6.17,CA,1611898320
Mīnāb,27.1467,57.0801,70.79000000000002,34,11,0.58,IR,1611898320
Bengkulu,-3.8004,102.2655,82.41800000000009,68,100,4.75,ID,1611898199
Egvekinot,66.3167,-179.1667,-21.45999999999998,84,24,8.47,RU,1611898321
Faanui,-16.4833,-151.75,81.51800000000009,69,100,4.07,PF,1611898321
Trat,12.5,102.5,91.27400000000002,33,3,4.43,TH,1611898321
Busselton,-33.65,115.3333,84.00200000000008,44,0,0.89,AU,1611898321
Broome,42.2506,-75.833,14.0,85,90,4.12,US,1611898321
Antón Lizardo,19.05,-95.9833,73.00400000000005,73,90,5.14,MX,1611898322
Muros,42.7762,-9.0603,57.992,92,100,6.71,ES,1611898322
Boshnyakovo,49.6333,142.1667,8.51000000000008,94,100,4.19,RU,1611898322
Hamilton,39.1834,-84.5333,23.0,79,1,3.09,US,1611898307
Ugoofaaru,5.6667,73.0,80.9600000000001,60,4,2.54,MV,1611898323
Qaanaaq,77.484,-69.3632,-13.791999999999945,62,0,2.73,GL,1611898323
Acaraú,-2.8856,-40.12,78.31400000000004,82,99,4.74,BR,1611898323
Lagunas,-5.2269,-75.6753,72.10400000000006,96,49,0.76,PE,1611898324
Adrar,20.5022,-10.0711,59.846000000000046,34,0,4.96,MR,1611898324
Bijie,27.3125,105.2942,43.268000000000086,73,99,2.17,CN,1611898324
Erenhot,43.6475,111.9767,19.18399999999999,89,0,8.76,CN,1611898324
Wuwei,37.9281,102.6414,33.13399999999999,59,65,1.77,CN,1611898325
Aklavik,68.2191,-135.0107,-21.99999999999995,76,25,2.57,CA,1611898325
Kaka,37.3482,59.6143,56.58800000000005,34,0,0.85,TM,1611898325
Miloslavskoye,53.5815,39.4399,30.991999999999997,88,100,6.27,RU,1611898325
Sorong,-0.8833,131.25,81.15800000000002,79,100,3.38,ID,1611898285
Ribeira Grande,38.5167,-28.7,61.44800000000002,71,99,16.04,PT,1611898326
Kapaa,22.0752,-159.319,72.71600000000001,72,23,7.48,US,1611898326
Billings Metropolitan Area,45.7833,-108.5007,33.8,51,40,1.41,US,1611898206
Dunedin,-45.8742,170.5036,53.99600000000005,76,95,2.24,NZ,1611898175
Goderich,43.7501,-81.7165,23.306000000000026,95,100,11.29,CA,1611898327
Saint Simons,31.1352,-81.3901,43.73600000000007,69,0,1.85,US,1611898327
Farrukhnagar,17.0778,78.2011,80.6,61,47,2.06,IN,1611898327
San Cristobal,7.7669,-72.225,64.38200000000002,84,90,0.51,VE,1611898327
Henties Bay,-22.116,14.2845,64.20200000000008,84,19,1.53,NA,1611898328
Fort Nelson,58.8053,-122.7002,-21.99999999999995,76,20,0.24,CA,1611898328
Mahébourg,-20.4081,57.7,84.2,65,40,5.66,MU,1611898328
Upernavik,72.7868,-56.1549,-12.675999999999938,82,0,5.9,GL,1611898328
Caravelas,-17.7125,-39.2481,73.92200000000004,89,0,1.31,BR,1611898329
San Miguel de Tucumán,-26.8241,-65.2226,73.59800000000003,57,83,1.73,AR,1611898034
Saint-Philippe,-21.3585,55.7679,86.0,62,0,2.06,RE,1611898329
New Norfolk,-42.7826,147.0587,68.0,38,100,2.68,AU,1611898329
Kaitangata,-46.2817,169.8464,51.78200000000002,67,99,5.1,NZ,1611898329
Tura,25.5198,90.2201,76.6760000000001,34,0,1.76,IN,1611898330
Tuktoyaktuk,69.4541,-133.0374,-32.799999999999955,68,1,2.57,CA,1611898330
Port Lincoln,-34.7333,135.8667,68.77400000000002,68,70,7.34,AU,1611898330
Tomatlán,19.9333,-105.25,69.89000000000001,74,24,1.12,MX,1611898330
Port Hedland,-20.3167,118.5667,91.4,52,0,4.63,AU,1611898331
Lumphat,13.4878,106.9816,91.04000000000002,28,33,3.09,KH,1611898331
Wajir,1.7471,40.0573,79.7,61,8,6.42,KE,1611898331
Clyde River,70.4692,-68.5914,-12.747999999999976,77,0,1.07,CA,1611898331
Nishihara,26.1842,127.7558,55.292,71,83,8.27,JP,1611898331
Manokwari,-0.8667,134.0833,79.19600000000005,81,100,4.12,ID,1611898331
Inongo,-1.95,18.2667,73.92200000000004,83,94,1.35,CD,1611898332
Constitución,-35.3333,-72.4167,58.44199999999999,87,67,1.15,CL,1611898332
Banda Aceh,5.5577,95.3222,85.334,64,97,3.47,ID,1611898332
Cabo San Lucas,22.8909,-109.9124,62.99600000000005,84,0,1.28,MX,1611898281
Hermanus,-34.4187,19.2345,69.00800000000001,61,31,1.79,ZA,1611898332
Copiapó,-27.3667,-70.3333,62.6,82,90,2.06,CL,1611898333
Bandarbeyla,9.4942,50.8122,76.37000000000006,66,37,6.91,SO,1611898333
Tabou,4.423,-7.3528,77.50400000000005,89,17,3.32,CI,1611898333
Shingū,33.7333,135.9833,40.78399999999999,65,0,7.61,JP,1611898333
Norman Wells,65.282,-126.8329,-26.15799999999995,80,15,1.59,CA,1611898334
Yellowknife,62.456,-114.3525,-9.705999999999982,90,97,2.84,CA,1611897846
Loreto,22.2667,-101.9667,46.4,80,3,2.45,MX,1611898334
Umluj,25.0213,37.2685,69.9260000000001,54,32,4.71,SA,1611898275
Yenagoa,4.9247,6.2642,75.47000000000006,92,26,1.1,NG,1611898334
Longyearbyen,78.2186,15.6401,-2.199999999999953,46,20,12.35,SJ,1611898334
Saskylakh,71.9167,114.0833,-41.34999999999995,79,44,1.24,RU,1611898335
Avarua,-21.2078,-159.775,82.4,74,19,4.63,CK,1611898058
Touros,-5.1989,-35.4608,77.0,83,75,2.06,BR,1611898335
Necochea,-38.5473,-58.7368,62.924000000000014,70,99,2.5,AR,1611898335
Lorengau,-2.0226,147.2712,84.21800000000009,74,75,4.81,PG,1611898335
Shache,38.4167,77.2406,35.27600000000009,66,0,1.72,CN,1611898335
Bonavista,48.6499,-53.1147,23.0,93,99,2.06,CA,1611898336
Nikolskoye,59.7035,30.7861,30.2,93,75,3.0,RU,1611898336
Tungor,53.3808,142.9564,1.004000000000051,93,100,3.36,RU,1611898336
Sittwe,20.15,92.9,76.13600000000008,46,0,2.85,MM,1611898336
Mwanza,-2.5167,32.9,68.0,94,20,2.57,TZ,1611898336
Tilichiki,60.4667,166.1,-1.3899999999999721,93,100,4.54,RU,1611898337
Itarema,-2.9248,-39.9167,78.20600000000003,81,97,4.27,BR,1611898337
Arrondissement de Foix,42.8333,1.5833,44.99600000000005,81,76,1.84,FR,1611898337
Saint-Augustin,51.226,-58.6502,8.92400000000001,91,0,3.86,CA,1611898337
Rancho Palos Verdes,33.7445,-118.387,51.998000000000026,96,100,5.99,US,1611898337
Hilo,19.7297,-155.09,71.6,68,75,3.78,US,1611898301
Berlevåg,70.8578,29.0864,23.19800000000002,90,100,11.75,NO,1611898338
Port Alfred,-33.5906,26.891,70.82600000000009,73,0,5.09,ZA,1611898338
Bethel,41.3712,-73.414,15.8,53,1,3.09,US,1611898338
Nicoya,10.1483,-85.452,78.80000000000001,61,0,11.83,CR,1611898339
Conceição do Araguaia,-8.2578,-49.2647,72.37400000000002,92,84,0.98,BR,1611898339
Santa Cruz de la Sierra,-17.8,-63.1667,71.6,94,90,6.69,BO,1611898294
Provideniya,64.3833,-173.3,-4.377999999999965,84,100,6.3,RU,1611898339
Portland,45.5234,-122.6762,40.694000000000074,89,73,0.41,US,1611898081
Sitka,57.0531,-135.33,35.6,55,90,5.66,US,1611898340
Iskateley,67.6803,53.1512,-31.12599999999994,82,70,3.43,RU,1611898340
Noumea,-22.2763,166.4572,80.6,74,40,11.32,NC,1611898340
Kitgum,3.2783,32.8867,75.39800000000002,39,43,3.03,UG,1611898091
Grindavik,63.8424,-22.4338,24.8,80,0,3.6,IS,1611898340
Road Town,18.4167,-64.6167,75.00200000000008,82,1,1.45,VG,1611898340
Esperance,-33.8667,121.9,73.4,46,1,8.23,AU,1611898341
Lebu,-37.6167,-73.65,59.16200000000006,97,100,6.69,CL,1611898341
Omsukchan,62.5333,155.8,-29.70399999999995,81,100,1.77,RU,1611898341
Bitoon,10.0804,123.4587,87.80000000000001,55,75,8.23,PH,1611898342
Diego de Almagro,-26.3667,-70.05,55.85,60,0,0.82,CL,1611898342
Vila Velha,-20.3297,-40.2925,77.0,83,20,3.09,BR,1611898285
Chara,56.9064,118.2631,-27.417999999999985,78,100,0.89,RU,1611898342
Si Sa Ket,14.8333,104.3333,84.99199999999999,47,7,2.91,TH,1611898342
Hirara,24.8,125.2833,60.8,51,75,6.17,JP,1611898343
Pilar,-9.5972,-35.9567,73.4,100,75,2.06,BR,1611898343
Ancud,-41.8697,-73.8203,51.998000000000026,87,90,2.06,CL,1611898343
Puri,19.8,85.85,77.0,50,0,2.57,IN,1611898343
Klaksvík,62.2266,-6.589,33.8,60,20,6.17,FO,1611898343
Upleta,21.7333,70.2833,78.63800000000005,17,0,6.02,IN,1611898344
Vallenar,-28.5708,-70.7581,58.604000000000056,82,0,0.77,CL,1611898344
Morondava,-20.2833,44.2833,83.26400000000004,72,54,1.11,MG,1611898344
Rio Grande,-32.035,-52.0986,73.99400000000009,86,98,0.89,BR,1611898344
Port Macquarie,-31.4333,152.9167,75.99199999999999,83,90,5.87,AU,1611898199
Middle Island,40.8843,-72.9373,19.99400000000007,53,20,6.17,US,1611898344
Puerto del Rosario,28.5004,-13.8627,59.0,100,90,2.06,ES,1611898345
Abhā,18.2164,42.5053,59.0,30,0,2.57,SA,1611898256
Hasaki,35.7333,140.8333,51.998000000000026,23,20,8.23,JP,1611898345
Ust'-Koksa,50.2696,85.6108,17.762000000000057,90,92,0.61,RU,1611898346
Puerto Nariño,-3.7703,-70.3831,73.4,100,75,0.49,CO,1611898346
Otavi,-19.65,17.3333,65.73200000000003,71,100,2.59,NA,1611898346
Jalu,29.0331,21.5482,44.708000000000006,88,0,1.4,LY,1611898346
Chapais,49.7834,-74.8492,-5.799999999999947,77,90,4.12,CA,1611898347
Mayo,38.8876,-76.5119,28.4,46,90,4.63,US,1611898347
Dikson,73.5069,80.5464,-33.71799999999999,80,9,0.94,RU,1611898347
Nowy Targ,49.4778,20.0323,28.4,86,75,2.06,PL,1611898347
Christchurch,-43.5333,172.6333,57.30800000000001,54,26,7.23,NZ,1611898347
Kraskino,42.7114,130.7794,8.816000000000006,79,0,8.3,RU,1611898347
Kirksville,40.1948,-92.5833,21.002000000000077,79,1,3.09,US,1611898348
Alta Floresta,-9.8756,-56.0861,70.97000000000006,98,100,1.48,BR,1611898348
Waipawa,-41.4122,175.5153,60.998000000000026,58,20,9.77,NZ,1611898348
Nizhniy Kuranakh,58.8353,125.4869,-29.97399999999996,79,100,0.92,RU,1611898348
Serebryansk,49.6925,83.2892,26.6,68,75,1.0,KZ,1611898349
Shiraz,29.6036,52.5388,46.4,36,0,0.58,IR,1611898197
San Patricio,28.017,-97.5169,53.6,82,1,3.6,US,1611898349
Tumut,-35.3,148.2167,64.23800000000006,87,100,2.65,AU,1611898349
Sinop Province,41.7711,34.8709,32.0,100,20,2.57,TR,1611898349
Tiksi,71.6872,128.8694,-32.02599999999994,84,58,3.08,RU,1611898350
Belaya Gora,68.5333,146.4167,-25.995999999999945,85,100,2.3,RU,1611898350
Vao,-22.6667,167.4833,76.55000000000001,78,86,10.41,NC,1611898350
Eyl,7.9803,49.8164,74.33600000000007,70,31,7.35,SO,1611898150
Chui,-33.6971,-53.4616,66.56000000000009,82,8,3.92,UY,1611898350
Kapuskasing,49.4169,-82.4331,5.0,85,100,5.14,CA,1611898350
Ormara,25.2088,64.6357,69.9260000000001,36,0,2.16,PK,1611898351
Pasān,22.85,82.2,70.37600000000009,34,40,1.27,IN,1611898351
Tromsø,69.6496,18.957,17.6,62,75,0.51,NO,1611898351
Korla,41.7597,86.1469,33.188000000000045,69,0,1.36,CN,1611898351
Assomada,15.1,-23.6833,69.80000000000001,52,0,5.14,CV,1611898352
Cham,47.1821,8.4636,43.610000000000085,88,100,3.85,CH,1611898352
Conde,-7.2597,-34.9075,75.38000000000005,87,64,2.64,BR,1611898352
Cherskiy,68.75,161.3,-29.28999999999997,85,31,0.97,RU,1611898352
Biharamulo,-2.6319,31.3089,65.3180000000001,86,100,0.95,TZ,1611898352
Ola,59.5833,151.2833,-10.911999999999956,84,99,4.59,RU,1611898352
Katsuura,35.1333,140.3,51.8,22,40,5.14,JP,1611898353
Lanzhou,36.0564,103.7922,32.018000000000086,79,100,1.44,CN,1611898250
Diffa,13.3154,12.6113,62.906000000000034,41,40,5.56,NE,1611898353
Hobart,-42.8794,147.3294,68.0,67,75,7.72,AU,1611898125
Mandera,3.9366,41.867,81.87800000000007,45,67,6.86,KE,1611898353
Lagan,45.3929,47.3707,37.88600000000007,88,100,6.06,RU,1611898354
Saint Paul Harbor,57.79,-152.4072,33.8,75,90,11.32,US,1611898354
Paamiut,61.994,-49.6678,33.83600000000007,81,90,2.55,GL,1611898354
Laas,46.6166,10.7002,32.0,93,90,2.06,IT,1611898354
Porto-Novo,6.4965,2.6036,82.4,83,40,1.03,BJ,1611898354
Aripuanã,-9.1667,-60.6333,71.07800000000006,97,27,0.8,BR,1611898355
Ibotirama,-12.1853,-43.2206,75.75800000000001,56,82,1.19,BR,1611898355
Panama City,8.9936,-79.5197,78.80000000000001,73,90,3.6,PA,1611898207
Kisangani,0.5167,25.2,75.38000000000005,85,100,1.39,CD,1611898355
Sola,-13.8833,167.55,82.45400000000006,76,100,6.36,VU,1611898356
La Palma,33.8464,-118.0467,55.400000000000006,100,90,9.77,US,1611898326
Bathsheba,13.2167,-59.5167,77.0,69,40,5.66,BB,1611898358
Johnstown,40.3267,-78.922,15.404000000000053,92,100,6.53,US,1611898181
Turukhansk,65.8167,87.9833,-26.679999999999943,80,96,3.9,RU,1611898359
Nome,64.5011,-165.4064,-0.21999999999996334,89,100,3.39,US,1611898359
Port Elizabeth,-33.918,25.5701,68.77400000000002,65,0,4.24,ZA,1611898359
Haines Junction,60.7522,-137.5108,-3.0459999999999496,87,100,0.81,CA,1611898359
College,64.8569,-147.8028,1.6160000000000068,93,100,1.25,US,1611898359
Nhulunbuy,-12.2333,136.7667,89.6,62,75,5.66,AU,1611898360
Alice Springs,-23.7,133.8833,98.60000000000001,32,40,4.12,AU,1611898345
Pevek,69.7008,170.3133,-22.88199999999997,87,100,1.6,RU,1611898360
Kavieng,-2.5744,150.7967,84.47000000000006,76,100,5.85,PG,1611898360
Kānkon,15.0167,74.0167,82.4,47,37,3.09,IN,1611898361
Vestmanna,62.1564,-7.1664,33.49400000000007,88,27,8.29,FO,1611898361
Seoul,37.5683,126.9778,23.0,27,0,4.12,KR,1611897806
Sisimiut,66.9395,-53.6735,9.733999999999991,77,0,4.63,GL,1611898361
Yulara,-25.2406,130.9889,93.16400000000004,33,94,6.77,AU,1611898361
Francofonte,37.2265,14.8806,55.400000000000006,88,40,7.2,IT,1611898362
Safaga,26.7292,33.9365,53.6,58,0,2.57,EG,1611898362
Westport,41.1415,-73.3579,19.4,49,1,7.72,US,1611898273
Ilulissat,69.2167,-51.1,-1.7499999999999503,68,0,2.39,GL,1611898362
Roald,62.5833,6.1333,34.358000000000004,82,99,7.66,NO,1611898362
Dhuwaran,22.2333,72.8,64.4,52,0,5.66,IN,1611898362
Shenjiamen,29.9576,122.298,41.21600000000001,61,0,3.65,CN,1611898362
Ponta do Sol,32.6667,-17.1,57.00200000000008,94,20,0.89,PT,1611898363
Bubaque,11.2833,-15.8333,77.684,66,87,3.25,GW,1611898363
Mandalgovi,45.7625,106.2708,22.982000000000014,81,1,11.57,MN,1611898363
Nikki,9.9401,3.2108,65.39000000000001,26,8,1.56,BJ,1611898363
San Rafael,-34.6177,-68.3301,65.48000000000005,52,23,1.13,AR,1611898363
Batemans Bay,-35.7167,150.1833,66.00200000000008,95,100,1.79,AU,1611898208
Jiangyou,31.7667,104.7167,53.79800000000003,52,94,1.24,CN,1611898363
São João da Barra,-21.6403,-41.0511,75.542,84,22,6.77,BR,1611898364
Kumul,42.8,93.45,29.804000000000052,76,0,0.81,CN,1611898364
Margate,51.3813,1.3862,48.00200000000008,76,96,2.24,GB,1611898364
Geraldton,-28.7667,114.6,98.60000000000001,25,40,9.26,AU,1611898364
Grand Gaube,-20.0064,57.6608,84.99199999999999,65,21,4.92,MU,1611898364
Makakilo City,21.3469,-158.0858,75.2,64,1,3.6,US,1611898365
Guayanilla,18.0191,-66.7918,69.85400000000006,83,37,1.74,PR,1611898365
Coquimbo,-29.9533,-71.3436,59.0,88,0,1.03,CL,1611898365
Beloha,-25.1667,45.05,89.09600000000006,55,17,2.41,MG,1611898365
La Vergne,36.0156,-86.5819,28.4,80,1,3.09,US,1611898365
Magaria,12.9983,8.9099,61.196000000000055,28,39,4.64,NE,1611898365
High Rock,26.6208,-78.2833,64.4,59,75,7.2,BS,1611898365
Tawang Town,27.5833,91.8667,47.39000000000002,40,0,4.17,IN,1611898366
Konya Province,38.1667,32.5,25.10600000000003,93,19,3.93,TR,1611898366
Isangel,-19.55,169.2667,84.2,79,75,5.14,VU,1611898366
Carballo,43.213,-8.691,56.3,91,86,3.28,ES,1611898366
Vágur,61.4732,-6.8119,37.832000000000015,75,0,11.07,FO,1611898366
Airai,-8.9266,125.4092,65.62400000000002,99,100,3.07,TL,1611898367
Camacha,33.0833,-16.3333,57.45200000000008,93,68,5.54,PT,1611898367
Waddān,29.1614,16.139,47.570000000000064,86,0,1.53,LY,1611898367
Belmonte,-15.8631,-38.8828,78.80000000000001,73,75,4.12,BR,1611898367
Poum,-20.2333,164.0167,80.40200000000007,80,100,5.72,NC,1611898367
Palmer,42.1584,-72.3287,14.0,52,20,3.6,US,1611898368
Hope,33.6671,-93.5916,37.004000000000055,64,97,0.89,US,1611898203
